FID,pointid,grid_code,reforest,recultivat,area,RASTERVALU,Longitude,Latitude,lu
388827,703737,361002,2,8,44100,0.441,1111475,2989790,0
388830,703740,360521,2,8,47700,0.477,947499,2989716,0
388831,703741,360502,2,8,87300,0.873,970537,2989877,0
388832,703742,360502,2,8,72900,0.729,976494,2989843,0
388833,703743,360982,2,8,287100,2.871,1004564,2990130,0
388834,703744,361002,2,8,30600,0.306,1099398,2989725,0
388838,703751,360902,2,8,66600,0.666,922033,2989750,0
388839,703752,360982,2,8,66600,0.666,998275,2989776,0
388841,703756,360521,2,8,26100,0.261,942567,2989669,0
388842,703757,360502,2,8,90000,0.9,986375,2989776,0
388843,703759,360902,2,8,68400,0.684,880275,2989684,0
388844,703760,360521,2,8,108900,1.089,948109,2989736,0
388849,703768,360502,2,8,70200,0.702,975541,2989711,0
388850,703769,361024,2,8,44100,0.441,1090705,2989618,0
388851,703770,361002,2,8,45000,0.45,1120769,2989649,0
388853,703773,360521,2,8,39600,0.396,954094,2989625,0
388854,703774,360502,2,8,97200,0.972,957354,2989633,0
388855,703775,360824,2,8,135000,1.35,1017474,2989893,0
388856,703776,361024,2,8,63900,0.639,1079657,2989638,0
388857,703777,361021,2,8,54900,0.549,1153196,2989645,0
388865,703785,360502,2,8,27900,0.279,958706,2989583,0
388866,703786,360502,2,8,127800,1.278,983983,2989679,0
388867,703787,360824,2,8,117000,1.17,1014621,2989679,0
388868,703788,360981,2,8,68400,0.684,1052949,2989635,0
388869,703790,360902,2,8,201600,2.016,930606,2989739,0
388870,703791,360521,2,8,207900,2.079,935323,2989748,0
388871,703792,360982,2,8,119700,1.197,995099,2989685,0
388872,703793,360502,2,8,88200,0.882,980031,2989622,0
388873,703794,361024,2,8,46800,0.468,1071995,2989522,0
388876,703797,360502,2,8,31500,0.315,959640,2989479,0
388877,703798,360982,2,8,67500,0.675,992876,2989505,0
388879,703802,360521,2,8,35100,0.351,938425,2989418,0
388881,703804,361021,2,8,39600,0.396,1149842,2989467,0
388883,703808,360502,2,8,55800,0.558,978072,2989485,0
